iso,wb
CHN,CHN
PRK,PRK
TWN,OAN
KHM,KHM
IDN,IDN
LAO,LAO
MYS,MYS
MDV,MDV
MMR,BUR
PHL,PHL
LKA,LKA
THA,THA
TLS,TLS
VNM,VNM
FJI,FJI
KIR,KIR
MHL,MHL
FSM,FSM
PNG,PNG
WSM,WSM
SLB,SLB
TON,TON
VUT,VUT
ARM,ARM
AZE,AZE
GEO,GEO
KAZ,KAZ
KGZ,KGZ
MNG,MNG
TJK,TJK
TKM,TKM
UZB,UZB
ALB,ALB
BIH,BIH
BGR,BGR
HRV,HRV
CZE,CZE
HUN,HUN
MKD,MKD
MNE,MON
POL,POL
ROU,ROM
SRB,SRB
SVK,SVK
SVN,SVN
BLR,BLR
EST,EST
LVA,LVA
LTU,LTU
MDA,MDA
RUS,RUS
UKR,UKR
BRN,BRN
JPN,JPN
KOR,KOR
SGP,SGP
AUS,AUS
NZL,NZL
AND,AND
AUT,AUT
BEL,BEL
CYP,CYP
DNK,DNK
FIN,FIN
FRA,FRA
DEU,DEU
GRC,GRC
ISL,ISL
IRL,IRL
ISR,ISR
ITA,ITA
LUX,LUX
MLT,MLT
NLD,NLD
NOR,NOR
PRT,PRT
ESP,ESP
SWE,SWE
CHE,CHE
GBR,GBR
ARG,ARG
CHL,CHL
URY,URY
CAN,CAN
USA,USA
ATG,ATG
BHS,BHS
BRB,BRB
BLZ,BLZ
CUB,CUB
DMA,DMA
DOM,DOM
GRD,GRD
GUY,GUY
HTI,HTI
JAM,JAM
LCA,LCA
VCT,VCT
SUR,SUR
TTO,TTO
BOL,BOL
ECU,ECU
PER,PER
COL,COL
CRI,CRI
SLV,SLV
GTM,GTM
HND,HND
MEX,MEX
NIC,NIC
PAN,PAN
VEN,VEN
BRA,BRA
PRY,PRY
DZA,DZA
BHR,BHR
EGY,EGY
IRN,IRN
IRQ,IRQ
JOR,JOR
KWT,KWT
LBN,LBN
LBY,LBY
MAR,MAR
PSE,PSE
OMN,OMN
QAT,QAT
SAU,SAU
SYR,SYR
TUN,TUN
TUR,TUR
ARE,ARE
YEM,YEM
AFG,AFG
BGD,BGD
BTN,BTN
IND,IND
NPL,NPL
PAK,PAK
AGO,AGO
CAF,CAF
COG,COG
COD,ZAR
GNQ,GNQ
GAB,GAB
BDI,BDI
COM,COM
DJI,DJI
ERI,ERI
ETH,ETH
KEN,KEN
MDG,MDG
MWI,MWI
MUS,MUS
MOZ,MOZ
RWA,RWA
SYC,SYC
SOM,SOM
SDN,SDN
TZA,TZA
UGA,UGA
ZMB,ZMB
BWA,BWA
LSO,LSO
NAM,NAM
ZAF,ZAF
SWZ,SWZ
ZWE,ZWE
BEN,BEN
BFA,HVO
CMR,CMR
CPV,CPV
TCD,TCD
CIV,CIV
GMB,GMB
GHA,GHA
GIN,GIN
GNB,GNB
LBR,LBR
MLI,MLI
MRT,MRT
NER,NER
NGA,NGA
STP,STP
SEN,SEN
SLE,SLE
TGO,TGO
